movie_title,genres,keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Escape Room,Thriller Action Mystery Horror,"chicago, usa teamwork puzzle solving escape room traumatized person",Adam Robitel,Taylor Russell,Logan Miller,Deborah Ann Woll
Rust Creek,Thriller Drama,sheriff kentucky woods murder survival meth lab woman director,Jen McGowan,Hermione Corfield,Jay Paulson,Sean O'Bryan
American Hangman,Thriller,social media online kidnapped unidentified man live feed capital  trial,Wilson Coneybeare,Donald Sutherland,Vincent Kartheiser,Oliver Dennis
A Dog's Way Home,Drama Adventure Family,based on novel or book new mexico colorado homelessness based on a true story cgi pitbull dog veteran avalanche gay couple pet owner animal control,Charles Martin Smith,Bryce Dallas Howard,Edward James Olmos,Alexandra Shipp
The Upside,Comedy Drama,remake class differences rich poor caregiver man in wheelchair interracial friendship social differences rich man quadriplegia male nurse handicapped disabled person,Neil Burger,Bryan Cranston,Kevin Hart,Nicole Kidman
Replicas,Thriller Science Fiction,laboratory car accident family science consciousness biologist synthetic neuro-scientist police task force,Jeffrey Nachmanoff,Keanu Reeves,,
After Darkness,Drama Family Thriller Science Fiction,sun end of world,Batán Silva,Natalia Dyer,Kyra Sedgwick,Tim Daly
Glass,Thriller Drama Science Fiction,sequel superhero psychiatric hospital comic book shop super power mental illness multiple personality dissociative identity disorder surveillance specialist,M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson
Close,Action Thriller,casablanca morocco kidnapping bodyguard heiress safe house counter terrorism,Vicky Jewson,Noomi Rapace,Sophie Nélisse,Indira Varma
The Standoff at Sparrow Creek,Drama Thriller Mystery,militia radio shooting ex-cop interrogation police funeral warehouse investigate,Henry Dunham,James Badge Dale,Brian Geraghty,
The Final Wish,Horror,mother death of father jinn wishes come true mysterious object,Timothy Woodward Jr.,Lin Shaye,Michael Welch,Melissa Bolona
The Kid Who Would Be King,Action Adventure Fantasy Family,sword menace magic epic cornwall england merlin knight medieval enchantress evil woman excalibur stonehenge quest final battle led zeppelin sword in the stone,Joe Cornish,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor
Serenity,Science Fiction Action Adventure Thriller,martial arts telepathy spacecraft dystopia fugitive planet cannibal space opera operative ex soldier firefly,Steven Knight,Matthew McConaughey,Anne Hathaway,Jason Clarke
I Am Mother,Science Fiction,artificial intelligence bunker post-apocalyptic future robot human extinction,Grant Sputore,Grant Sputore (director),Michael Lloyd Green (screenplay/story),Clara Rugaard
The Vast of Night,Mystery Science Fiction Drama,small town new mexico ufo tape recorder teenager radio show phone call 1950s telephone switchboard operator audio static basketball match,Andrew Patterson,Andrew Patterson (director),James Montague,Craig W. Sanger (writers); Sierra McCormick
