movie_title,genres,keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Miss Bala,Action,corruption mexico shooting remake mob boss beauty queen,Catherine Hardwicke,Gina Rodriguez,Ismael Cruz Córdova,Anthony Mackie
Velvet Buzzsaw,Thriller Mystery Horror,art collector supernatural satire dark comedy consumerism art house social satire art thief art dealer art theft commercialism media criticism,Dan Gilroy,Jake Gyllenhaal,Rene Russo,Toni Collette
Piercing,Thriller Horror Mystery,prostitute based on novel or book planned murder murder of prostitute escort service psychological thriller married man,Nicolas Pesce,Christopher Abbott,Mia Wasikowska,Laia Costa
The Lego Movie 2: The Second Part,Action Adventure Animation Comedy Family Science Fiction Fantasy,based on toy lego,Mike Mitchell,Chris Pratt,Elizabeth Banks,Tiffany Haddish
What Men Want,Comedy Romance,,Adam Shankman,Taraji P. Henson,Tracy Morgan,Max Greenfield
Cold Pursuit,Action Crime Thriller,colorado drug dealer revenge dark comedy gun battle snow,Hans Petter Moland,Liam Neeson,Tom Bateman,Tom Jackson
High Flying Bird,Drama,sports basketball sports agent,Steven Soderbergh,André Holland,Zazie Beetz,Melvin Gregg
The Prodigy,Horror Thriller,"pennsylvania, usa halloween reincarnation supernatural based on a true story basement serial killer doctor car accident parent metronome soul transference creepy kid maggots skeleton costume regression therapy",Nicholas McCarthy,Taylor Schilling,Peter Mooney,Colm Feore
Isn't It Romantic,Comedy Fantasy Romance,new york city architect satire romantic comedy low self esteem alternative present alternative world,Todd Strauss-Schulson,Rebel Wilson,Liam Hemsworth,Adam DeVine
Happy Death Day 2U,Comedy Horror Science Fiction,college psychopath sequel murder time loop aftercreditsstinger multiverse stabbed to death,Christopher Landon,Jessica Rothe,Israel Broussard,Phi Vu
Alita: Battle Angel,Action Science Fiction Adventure,martial arts bounty hunter extreme sports dystopia superhero cyberpunk based on manga female cyborg live action remake floating city manga,Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly
How to Train Your Dragon: The Hidden World,Animation Family Adventure,flying based on novel or book overpopulation viking finale sequel cgi dragon based on children's book,Dean DeBlois,Jay Baruchel,America Ferrera,Cate Blanchett
Fighting with My Family,Comedy Drama,england biography wrestling sports based on a true story family,Stephen Merchant,Florence Pugh,Lena Headey,Nick Frost
Tyler Perry's A Madea Family Funeral,Comedy,secret funeral family secrets family,Tyler Perry,Tyler Perry,Courtney Burrell,Patrice Lovely
Greta,Thriller Mystery Horror,"paris, france new york city finger psychopath stalker basement dog evil roofie older woman younger woman relationship",Neil Jordan,Isabelle Huppert,Chloë Grace Moretz,Maika Monroe
Triple Frontier,Action Thriller Crime Adventure,colombia cocaine peru drug cartel survival drug lord andes mountains ex special forces amazon jungle treasure heist,J. C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam
Captain Marvel,Action Adventure Science Fiction,superhero based on comic superheroine alien invasion super power female hero aftercreditsstinger duringcreditsstinger marvel cinematic universe woman director hero's journey 1990s alien technology,"Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law",Brie Larson,Samuel L. Jackson,Ben Mendelsohn
The Kid,Comedy Drama,angel suicide attempt fistfight slapstick class differences rich poor foundling silent film dream sequence semi autobiographical car theft little tramp illegitimate child unwed mother abandoned baby out of wedlock child raised like own child good deed doer,Vincent D'Onofrio,Ethan Hawke,Dane DeHaan,Jake Schur
Wonder Park,Comedy Animation Adventure Family Fantasy,animal amusement park wonder,"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver",Brianna Denski,Ken Hudson Campbell,Matthew Broderick
Captive State,Science Fiction,"usa chicago, usa dystopia alien apocalypse alien invasion",Rupert Wyatt,John Goodman,Ashton Sanders,Jonathan Majors
Nancy Drew and the Hidden Staircase,Crime Family Comedy Drama Mystery,woman director,Katt Shea,Sophia Lillis,Zoe Renee,Mackenzie Graham
The Aftermath,Drama Romance War,"based on novel or book post war germany post world war ii hamburg, germany 1940s",James Kent,Alexander Skarsgård,Keira Knightley,Jason Clarke
Five Feet Apart,Romance Drama,forbidden love falling in love cystic fibrosis star crossed lovers true love,Justin Baldoni,Cole Sprouse,Haley Lu Richardson,
The Highwaymen,Crime Drama Thriller,fbi bank robber texas ranger based on a true story tracker cops and robbers  forensic science criminal gang 1930s bonnie and clyde manhunt legendary hero retired lawman,John Lee Hancock,Kevin Costner,Woody Harrelson,Kathy Bates
Red 11,Thriller Science Fiction,,Robert Rodriguez,Roby Attal,Lauren Hatfield,Alejandro Rose Garcia
Never Grow Old,Western,"husband wife relationship oregon, usa undertaker preacher frontier town outlaw gang irish immigrant 19th century religious community california trail greedy man",Ivan Kavanagh,Emile Hirsch,Tim Ahern,Déborah François
Triple Threat,Thriller Action,martial arts assassin fight hitman mercenary police organized crime تهدید سه گانه,Jesse V. Johnson,Tony Jaa,Iko Uwais,Tiger Chen
Us,Thriller Horror Mystery,mask boardwalk murder fear family vacation home invasion amusement park doppelgänger santa cruz california 1980s hall of mirrors duality,Jordan Peele,Lupita Nyong'o,Winston Duke,Shahadi Wright Joseph
Hotel Mumbai,Drama History Action Thriller,"husband wife relationship mumbai (bombay), india based on a true story india struggle for survival terrorist attack religious fanaticism luxury hotel jihadist terrorist 2000s",Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi
The Dirt,Drama Music History,,Jeff Tremaine,Douglas Booth,Iwan Rheon,Machine Gun Kelly
Dragged Across Concrete,Crime Action Thriller,sibling relationship corruption husband wife relationship gold hostage murder heist shootout brutality ex-con crooked cop reunited friends suspended cop stake out,S. Craig Zahler,Mel Gibson,Vince Vaughn,Michael Jai White
Dumbo,Adventure Family Fantasy,circus elephant missouri remake 1910s live action remake dumbo,Tim Burton,Colin Farrell,Michael Keaton,Danny DeVito
The Beach Bum,Comedy,,Harmony Korine,Matthew McConaughey,Zac Efron,Jonah Hill
Unplanned,Drama,based on novel or book transformation biography conversion based on a true story redemption clinic based on memoir or autobiography unwanted pregnancy women's health abortion medical clinic women's rights abortion clinic reproductive rights planned parenthood religious belief,"Chuck Konzelman, Cary Soloman",Ashley Bratcher,Brooks Ryan,Robia Scott
Shazam!,Action Comedy Fantasy,philadelphia dc comics secret identity magic superhero based on comic wizard superhuman strength aftercreditsstinger duringcreditsstinger christmas dc extended universe flossing,David F. Sandberg,Zachary Levi,Asher Angel,Mark Strong
Pet Sematary,Thriller Horror,based on novel or book cat husband wife relationship remake maine pet cemetery indian burial ground neighbor neighbor relationship father daughter relationship traumatized woman united states countryside,"Kevin Kolsch, Dennis Widmyer (directors); Jeff Buhler (screenplay); Jason Clarke, Amy Seimetz, John Lithgow",Jason Clarke,Amy Seimetz,John Lithgow
The Best of Enemies,Drama History,usa ku klux klan based on novel or book 1970s north carolina based on a true story racism interracial friendship segregation,Robin Bissell,Taraji P. Henson,Sam Rockwell,
High Life,Science Fiction Drama Mystery Thriller,baby black hole dangerous mission woman director deep space damned spaceship survivors,Claire Denis,Robert Pattinson,Juliette Binoche,André Benjamin
The Haunting of Sharon Tate,Horror Thriller,based on a true story,Daniel Farrands,Hilary Duff,Jonathan Bennett,Lydia Hearst
The Wind,Horror Western Thriller,based on novel or book isolation paranoia pregnancy supernatural frontier remake independent film madness reverend still birth 19th century plains prairie madness,Emma Tammi,Caitlin Gerard,Ashley Zukerman,Julia Goldani Telles
The Silence,Drama Thriller Fantasy Horror,based on novel or book deafness post-apocalyptic future survival creature deaf sign languages flying creatures deadly creature creature attack trying to avoid making noise,John R. Leonetti,Kiernan Shipka,Stanley Tucci,Miranda Otto
Hellboy,Action Adventure Fantasy Science Fiction,"london, england secret society based on comic english countryside reboot tijuana mexico nazi occultism father son relationship lucha libre baba yaga ailuranthropy arthurian mythology",Neil Marshall,David Harbour,Milla Jovovich,Ian McShane
Little,Horror Comedy,,Tina Gordon,Issa Rae,Regina Hall,Marsai Martin
Missing Link,Animation Comedy Adventure Fantasy Family,himalaya bigfoot yeti stop motion cryptozoology loch ness monster shangri la pacific northwest 19th century sasquatch,Chris Butler,Hugh Jackman,Zach Galifianakis,Zoe Saldana
After,Drama Romance,based on novel or book love teenage crush saga after,Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,Selma Blair
Her Smell,Drama Music,addiction punk rocker,Alex Ross Perry,Elisabeth Moss,Cara Delevingne,Dan Stevens
Breakthrough,Drama,based on novel or book based on memoir or autobiography,Roxann Dawson,Chrissy Metz,Josh Lucas,Topher Grace
Penguins,Family Animation Adventure Comedy,penguin madagascar good vs evil anthropomorphism spin off kids 3d,Alastair Fothergill,Alastair Fothergill (director),Jeff Wilson (co-director); Ed Helms,
The Curse of La Llorona,Thriller Horror Mystery,the conjuring universe lanetli gözyasları la llorona,Michael Chaves,Linda Cardellini,Raymond Cruz,Patricia Velasquez
Under the Silver Lake,Drama Mystery,secret society seduction surrealism dark comedy dream sequence voyeur part animation neo-noir hollywood hills subliminal message,David Robert Mitchell,Andrew Garfield,Riley Keough,Topher Grace
Family,Crime Comedy Action,france witness protection mafia,Laura Steinel,Taylor Schilling,Brian Tyree Henry,Bryn Vale
Fast Color,Thriller Drama Science Fiction,woman director,Julia Hart,Gugu Mbatha-Raw,Lorraine Toussaint,Saniyya Sidney
Someone Great,Comedy Romance,new york city female friendship latinx lead romantic comedy woman director,Jennifer Kaytin Robinson,Gina Rodriguez,Brittany Snow,DeWanda Wise
I Spit on Your Grave: Deja Vu,Horror Thriller,rape horror sequel revenge thriller,Meir Zarchi,Camille Keaton,Maria Olsen,Meir Zarchi
Avengers: Endgame,Adventure Science Fiction Action,space travel time travel time machine sequel based on comic alien invasion superhero team iron man alternate timeline final battle father daughter relationship sister sister relationship avengers avengers endgame,"Anthony and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Brie Larson, Karen Gillan, Danai Gurira, Benedict Wong, Jon Favreau, Bradley Cooper, Gwyneth Paltrow, Josh Brolin",Robert Downey Jr.,Chris Evans,Mark Ruffalo
I Trapped the Devil,Horror,hostage basement christmas estranged brother,Josh Lobo,A. J. Bowen,Scott Poythress,Susan Burke
Body at Brighton Rock,Thriller,woman director,Roxanne Benjamin,Karina Fontes,Casey Adams,Emily Althaus
Buffaloed,Comedy Drama,,Tanya Wexler,Zoey Deutch,Jermaine Fowler,Judy Greer
Long Shot,Comedy Romance,tattoo journalist u.s. president babysitter politics drugs presidential candidate speech writer activist,Jonathan Levine,Seth Rogen,Charlize Theron,O'Shea Jackson Jr.
The Intruder,Thriller,california country house widow thanksgiving psychopath stalker deer murder christmas lights voyeur christmas intruder moving house napa valley,Deon Taylor,Dennis Quaid,Michael Ealy,Meagan Good
UglyDolls,Animation Comedy Family Adventure Fantasy Music,,Kelly Asbury,Kelly Clarkson,Pitbull,Nick Jonas
"Extremely Wicked, Shockingly Evil and Vile",Thriller Crime Drama,based on novel or book biography cincinnati based on a true story serial killer,Joe Berlinger,Zac Efron,Lily Collins,Kaya Scodelario
Pokémon Detective Pikachu,Action Adventure Fantasy,detective amnesia pokémon based on video game missing person missing parent buddy comedy pikachu neo-noir cinematic universe pikachu character,Rob Letterman,Ryan Reynolds,Justice Smith,Kathryn Newton
The Hustle,Comedy,competition bet remake con artist aftercreditsstinger,Chris Addison,Anne Hathaway,Rebel Wilson,Alex Sharp
Tolkien,Drama History War Romance,world war i male friendship biography based on a true story coming of age class differences schoolmates mentor protégé relationship boys' school troubled relationship oxford university 1910s birmingham male writer boys club 20th century edwardian england early 1900s,Dome Karukoski,Nicholas Hoult,Lily Collins,Colm Meaney
Poms,Comedy Drama,cancer victim former cheerleader spirited seniors,Zara Hayes,Diane Keaton,Jacki Weaver,Pam Grier
The Professor and the Madman,Drama History Mystery Thriller,based on novel or book professor lunatic asylum biography mental patient dictionary 19th century,"P.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve Coogan",Mel Gibson,Sean Penn,Natalie Dormer
John Wick: Chapter 3 – Parabellum,Action Thriller Crime,new york city martial arts casablanca morocco secret society black humor sahara russian mafia sequel organized crime one man army professional assassin baba yaga dog man friendship,Chad Stahelski,Keanu Reeves,Halle Berry,Laurence Fishburne
A Dog's Journey,Family,reincarnation sequel growing up dog animal shelter purpose of life,Gail Mancuso,Dennis Quaid,Josh Gad,Marg Helgenberger
The Sun Is Also a Star,Romance Drama,new york city deportation love based on young adult novel,Ry Russo-Young,Yara Shahidi,Charles Melton,John Leguizamo
The Professor,Comedy Drama,terminal illness drugs drinking madness college professor recklessness bold free,Wayne Roberts,Johnny Depp,Rosemarie DeWitt,Danny Huston
The Souvenir,Romance Mystery Drama,england drug addiction filmmaker filmmaking woman director 1980s film school mother daughter relationship toxic relationship,Joanna Hogg,Honor Swinton Byrne,Tom Burke,Tilda Swinton
The Tomorrow Man,Drama Romance,usa love,"Noble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve Harlow",John Lithgow,Blythe Danner,Derek Cecil
Aladdin,Adventure Fantasy Romance Family,"hustler musical sultan flying carpet rags to riches romance monkey family first love based on myths, legends or folklore genie arabian nights aladdin live action remake",Guy Ritchie,Mena Massoud,Will Smith,Naomi Scott
Brightburn,Horror Thriller Science Fiction,husband wife relationship child murderer country life super power super villain human alien kansas state father son relationship mother son relationship united states countryside,David Yarovesky,Elizabeth Banks,David Denman,Jackson A. Dunn
Booksmart,Comedy,high school coming of age high school student woman director lbgt,Olivia Wilde,Kaitlyn Dever,Beanie Feldstein,Jessica Williams
The Perfection,Thriller Horror Drama,amputation cello musician classical music psychopath revenge gore female homosexuality envy ill mother parasite underneath skin female musician revenge killing bugs amputee domestic care rape culture,Richard Shepard,Allison Williams,Logan Browning,Steven Weber
Always Be My Maybe,Romance Comedy,"new york city san francisco, california restaurant owner widower childhood friends woman director reconnect rekindled romance childhood sweethearts",Nahnatchka Khan,Ali Wong,Randall Park,Daniel Dae Kim
Godzilla: King of the Monsters,Science Fiction Action,"mexico boston, massachusetts giant monster cryptozoology eco terrorism creature feature gojira rodan kaiju global threat animal horror king ghidorah sunken city mothra",Michael Dougherty,Kyle Chandler,Vera Farmiga,Millie Bobby Brown
Rocketman,Drama Music,"london, england drug abuse 1970s pop star musical biography alcoholism based on a true story singer rock music los angeles, california pianist gay sex lgbt rise to fame 1960s",Dexter Fletcher,Taron Egerton,Jamie Bell,Richard Madden
Ma,Horror,casino kidnapping psychopath party revenge murder underage drinking slasher teenager stabbing veterinary mental illness loner school loner hanging out munchausen syndrome by proxy,Tate Taylor,Octavia Spencer,Juliette Lewis,Diana Silvers
Dark Phoenix,Science Fiction Action Adventure,mutant telekinesis superhero based on comic superhero team 1990s cosmic x-men,Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence
The Secret Life of Pets 2,Adventure Animation Comedy Family,new york city friendship sequel,Chris Renaud,Patton Oswalt,Eric Stonestreet,Kevin Hart
Late Night,Comedy Drama,talk show woman director late-night show 深夜秀,Nisha Ganatra,Emma Thompson,Mindy Kaling,Max Casella
The Last Black Man in San Francisco,Drama,"san francisco, california",Joe Talbot,Jimmie Fails,Jonathan Majors,Danny Glover
Changeland,Comedy Drama,beach thailand,Seth Green,Breckin Meyer,Macaulay Culkin,Brenda Song
Men in Black: International,Comedy Science Fiction,"paris, france london, england secret organization sahara sequel co-worker relationship alien invasion brooklyn, new york city eiffel tower paris alien friendship men in black weapons trafficking marrakesh, morocco",F. Gary Gray,Chris Hemsworth,Tessa Thompson,Kumail Nanjiani
Shaft,Action Crime,sequel shootout drug lord reboot death of friend,Tim Story,Samuel L. Jackson,Jessie Usher,Richard Roundtree
The Dead Don't Die,Comedy Horror Fantasy,"pennsylvania, usa cemetery small town hermit recycling diner b movie breaking the fourth wall zombie police officer horror comedy",Jim Jarmusch,Bill Murray,Adam Driver,Tilda Swinton
Murder Mystery,Comedy Crime Mystery Action,monaco yacht chase cop murder money inheritance troubled marriage wanted formula 1,Kyle Newacheck,Adam Sandler,Jennifer Aniston,Luke Evans
Plus One,Romance Comedy Drama,,"Jeff Chan, Andrew Rhymer",Maya Erskine,Jack Quaid,Beck Bennett
Being Frank,Comedy,double life blackmail family relationships,Miranda Bailey,Jim Gaffigan,Logan Miller,Samantha Mathis
Toy Story 4,Adventure Animation Comedy Family Fantasy,friendship cowboy toy story,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts
Child's Play,Horror,gun birthday voodoo toy stalker murder blood slasher explosion killer doll evil toy comes to life ginger,Lars Klevberg,Aubrey Plaza,Gabriel Bateman,Brian Tyree Henry
Annabelle Comes Home,Horror Thriller Mystery,doll the conjuring universe,Gary Dauberman,Mckenna Grace,Madison Iseman,Katie Sarife
Yesterday,Comedy Romance Fantasy Music,pop singer the beatles alternate reality,Danny Boyle,Himesh Patel,Lily James,Ed Sheeran
Ophelia,Romance History,,Claire McCarthy,Daisy Ridley,Naomi Watts,Clive Owen
Killers Anonymous,Action Thriller Crime Mystery,,Martin Owen,Tommy Flanagan,Rhyon Nicole Brown,Jessica Alba
Spider-Man: Far From Home,Action Adventure Science Fiction,"venice, italy europe prague, czech republic illusion school trip sequel superhero based on comic drone aftercreditsstinger duringcreditsstinger marvel cinematic universe tower of london",Jon Watts,Tom Holland,Samuel L. Jackson,Zendaya
Escape Plan: The Extractors,Action Thriller,prison sequel,John Herzfeld,Sylvester Stallone,Curtis Jackson,Dave Bautista
Midsommar,Horror Drama Mystery,sweden paranoia magic mushroom anthropology paganism hallucinogenic drug midsummer cultural conflict folk horror ancient ritual toxic relationship midnight sun isolated community summer festival traumatized woman boyfriend girlfriend relationship,Ari Aster,Florence Pugh,Jack Reynor,William Jackson Harper
Stuber,Action Comedy Thriller Crime,uber,Michael Dowse,Kumail Nanjiani,Dave Bautista,Iko Uwais
Crawl,Thriller Horror Drama,florida hurricane alligator animal attack flood animal horror crawlspace father daughter relationship,Alexandre Aja,Kaya Scodelario,Barry Pepper,
Point Blank,Action Thriller,remake,Joe Lynch,Frank Grillo,Anthony Mackie,Marcia Gay Harden
The Farewell,Comedy Drama,family relationships wedding family reunion grandmother chinese american family gathering woman director,Lulu Wang,Awkwafina,Tzi Ma,Diana Lin
Darlin',Horror Mystery,religion blood church woman director female lead,Pollyanna Mcintosh,Pollyanna McIntosh,Cooper Andrews,Nora-Jane Noone
The Lion King,Adventure Family Music,africa lion prince musical uncle remake grief cgi redemption king family imax sidekick live action and animation father son relationship live action remake,Jon Favreau,Donald Glover,Seth Rogen,Chiwetel Ejiofor
Once Upon a Time in Hollywood,Comedy Drama Thriller,"movie business tv star based on a true story charles manson hollywood los angeles, california struggling actor satanic cult western filmmaking 1960s stunt double fictionalized history",Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie
Skin,Drama,,Guy Nattiv,Jamie Bell,Danielle Macdonald,Daniel Henshall
The Red Sea Diving Resort,Drama Thriller,israel refugee camp mossad ethiopia sudan based on a true story 1980s rescue operation 20th century jewish history african history ethiopian jews,Gideon Raff,Chris Evans,Haley Bennett,Michael K. Williams
Fast & Furious Presents: Hobbs & Shaw,Action Adventure Comedy,"london, england ukraine biological weapon secret organization family clan spin off family reunion buddy comedy samoa aftercreditsstinger duringcreditsstinger buddy movie mother son relationship father daughter relationship brother sister relationship",David Leitch,Dwayne Johnson,Jason Statham,Idris Elba
A Score to Settle,Action Thriller Drama,,Shawn Ku,Nicolas Cage,Benjamin Bratt,
The Operative,Thriller Action Crime,,Yuval Adler,Diane Kruger,Martin Freeman,Cas Anvar
Dora and the Lost City of Gold,Adventure Comedy Family,based on cartoon jungle monkey lost civilization teenage protagonist,James Bobin,Isabela Moner,Eugenio Derbez,Michael Peña
The Kitchen,Action,new york city 1970s irish mob woman director,Andrea Berloff,Melissa McCarthy,Tiffany Haddish,Elisabeth Moss
The Art of Racing in the Rain,Comedy Drama Romance,based on novel or book reincarnation sports racing dog car animal narrator,Simon Curtis,Milo Ventimiglia,Amanda Seyfried,Kathy Baker
Scary Stories to Tell in the Dark,Horror Thriller,based on novel or book small town scarecrow halloween haunted house family secrets urban legend racism high school friends aspiring writer draft dodger 1960s,André Øvredal,Zoe Colletti,Michael Garza,Gabriel Rush
The Peanut Butter Falcon,Adventure Drama Comedy,runaway down syndrome wrestling on the run escape wrestling coach raft nursing home disability dream come true escape plan,"Tyler Nilson, Michael Schwartz",Shia LaBeouf,Dakota Johnson,John Hawkes
After the Wedding,Drama,new york city wedding,Bart Freundlich,Michelle Williams,Julianne Moore,Billy Crudup
Light of My Life,Drama Science Fiction,father daughter relationship,Casey Affleck,Casey Affleck,Anna Pniowsky,Tom Bower
The Angry Birds Movie 2,Animation Comedy Adventure Family,island sequel rivalry family angry bird,Thurop Van Orman,Jason Sudeikis,Josh Gad,Leslie Jones
Good Boys,Comedy,child swearing drone best friend first kiss sex toy tween child protagonist spin the bottle,Gene Stupnitsky,Jacob Tremblay,Brady Noon,Keith L. Williams
Blinded by the Light,Drama Comedy,based on a true story coming of age woman director 1980s british asian,Gurinder Chadha,Viveik Kalra,Kulvinder Ghir,Meera Ganatra
"Where'd You Go, Bernadette",Drama Comedy Mystery,based on novel or book agoraphobia missing person,Richard Linklater,Cate Blanchett,Billy Crudup,Emma Nelson
47 Meters Down: Uncaged,Horror,diving mexico shark attack altar maya civilization water monster sequel scuba diving teenage girl underwater shark great white shark ruins eaten by animal cave diving,Johannes Roberts,John Corbett,Nia Long,Sophie Nelisse
Gwen,Drama Mystery Horror History,,William McGregor,Maxine Peake,Eleanor Worthington Cox,Richard Harrington
Ready or Not,Horror Thriller Mystery Comedy,ritual pact with the devil marriage games murder gore wealth escape wedding wedding dress satanic,"Matt Bettinelli-Olpin, Tyler Gillett",Samara Weaving,Adam Brody,Mark O'Brien
Angel Has Fallen,Action Thriller,u.s. president sequel framed for a crime terrorist plot assassination attempt survivalism u.s. secret service agent manhunt father son relationship u.s. secret service,Ric Roman Waugh,Gerard Butler,Morgan Freeman,Jada Pinkett Smith
Brittany Runs a Marathon,Drama Comedy,,Paul Downs Colaizzo,Jillian Bell,Michaela Watkins,Utkarsh Ambudkar
Overcomer,Drama,christianity sports cross country,Alex Kendrick,Alex Kendrick,Priscilla Shirer,Ben Davies
Jacob's Ladder,Drama Mystery Horror,"new york city vietnam veteran post traumatic stress  disorder 1970s subway nightmare hallucination violence brooklyn, new york city psychological horror postal worker figment of imagination oneiric",David M. Rosenthal,Michael Ealy,Jesse Williams,Nicole Beharie
Burn,Drama Comedy,friendship road trip cancer death ashes woman director,Mike Gan,Tilda Cobham-Hervey,Suki Waterhouse,Harry Shum Jr.
Official Secrets,Drama Thriller Romance War Crime History,"london, england washington d.c. biography politics iraq war whistleblower 2000s",Gavin Hood,Keira Knightley,Matt Smith,Matthew Goode
Don't Let Go,Science Fiction Thriller Mystery Crime,,Jacob Aaron Estes,Jacob Aaron Estes,Drew Daywalt (story); David Oyelowo,Storm Reid
Itsy Bitsy,Horror Thriller,spider,Micah Gallo,Bruce Davison,Denise Crosby,Elizabeth Roberts
The Fanatic,Thriller Crime,mentally disabled autograph fan murder stalking bully hollywood mentally handicapped man book signing movie actor,Fred Durst,John Travolta,Devon Sawa,Ana Golja
It Chapter Two,Horror Fantasy,based on novel or book clown carnival sequel remake maine fear ancient evil loss of a friend,Andy Muschietti,James McAvoy,Jessica Chastain,Bill Hader
Satanic Panic,Horror Comedy,sacrifice pizza delivery coven beelzebub satanic cult woman director virgin sacrifice,Chelsea Stardust,Hayley Griffith,Ruby Modine,Arden Myrin
The Obituary of Tunde Johnson,,,Ali LeRoi,Steven Silver,Nicola Peltz,
The Goldfinch,Drama,based on novel or book painting art bombing,John Crowley,Ansel Elgort,Nicole Kidman,Oakes Fegley
Hustlers,Drama Comedy Crime,"new york city hustler strip club wall street stripper exotic dancer economic crisis inspired by a true story based on magazine, newspaper or article 2000s inspired by an article",Lorene Scafaria,Constance Wu,Jennifer Lopez,Julia Stiles
The Sound of Silence,Drama,,Michael Tyburski,Rashida Jones,Peter Sarsgaard,Tony Revolori
Monos,Drama Thriller,,Alejandro Landes,Julianne Nicholson,Moisés Arias,
Tall Girl,Comedy Drama Romance,romance young adult,Nzingha Stewart,Ava Michelle,Griffin Gluck,Luke Eisner
Polaroid,Horror Thriller Mystery,1970s camera high school undead antique polaroid polaroid camera haunted,Lars Klevberg,Kathryn Prescott,Grace Zabriskie,Samantha Logan
Ad Astra,Science Fiction Drama,moon loss of loved one planet mars astronaut moon colony solar system father son relationship near future planet neptune space walk,James Gray,Brad Pitt,Tommy Lee Jones,Ruth Negga
