movie_title,genres,keywords,director_name,actor_1_name,actor_2_name,actor_3_name
Permission,Comedy Romance Drama,marriage proposal,Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector
Monster Family,Animation Family Fantasy Comedy,vampire werewolf happiness,Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost
Golden Exits,Drama,,Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker
Black Panther,Action Adventure Fantasy Science Fiction,africa superhero based on comic aftercreditsstinger duringcreditsstinger marvel cinematic universe,"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o
Early Man,Family Comedy Animation Adventure,stone age mining sports stop motion prehistoric cavemen kids claymation plasticine football (soccer) match bronze age,Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams
Loveless,Drama,murder gang motorcycle violence leather woman director,Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov
The Party,Comedy,movie business party,Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson
Nostalgia,Drama,memory relationship,Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn
Black '47,Drama Western,deserter famine revenge tenant poverty ireland bad landlord landlord tenant relationship starvation 19th century manhunt british occupation connemara,Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea
Samson,Action Drama Adventure,jew / jewish bible god samson strength,Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane
Game Night,Mystery Comedy Crime,husband wife relationship kidnapping board game dark comedy neighbor aftercreditsstinger brother brother relationship,"Jonathan Goldstein, John Francis Daley (directors); Mark Perez (screenplay); Jason Bateman, Rachel McAdams, Kyle Chandler, Billy Magnussen, Sharon Horgan, Lamorne Morris, Kylie Bunbury, Jesse Plemons, Michael C. Hall",Jason Bateman,Rachel McAdams,Kyle Chandler
Annihilation,Science Fiction Horror,coma based on novel or book depression florida dna self-destruction expedition professor mutation alligator transformation swamp meteor quarantine physicist hybrid grief cancer psychologist memory loss scientist team paramedic missing person beast geologist biologist unusual phenomena compound missing husband fauna mysterious life form flora,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez
Every Day,Drama Fantasy Romance,based on novel or book transformation body switch based on young adult novel,Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan
The Cured,Horror Drama Science Fiction,infection flashback zombie disease military cure pack,David Freyne,David Freyne (director); Ellen Page,Sam Keeley,Tom Vaughan-Lawlor
The Lodgers,Drama Horror Romance Thriller,haunted house rural area twins gothic horror spooky house 1920s spooky,Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon
Red Sparrow,Mystery Thriller,cia based on novel or book russia seduction training russian spy,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts
Death Wish,Action Crime Drama Thriller,robbery detective based on novel or book gun kidnapping police vigilante remake shootout blood dark hero criminal death of wife father daughter relationship vigilante justice,Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris
The Vanishing of Sidney Hall,Drama Mystery,arson writer classmate novel,Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan
Foxtrot,War Comedy,journalist based on novel or book journalism kidnapping afghanistan taliban based on a true story rescue terrorism soldier foreign correspondent embedded journalism war journalist,Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray
Pickings,Action Crime Thriller Drama Mystery,gangster revenge mafia mobster southern pulp neo-noir,Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent
A Wrinkle in Time,Adventure Science Fiction Family Fantasy,based on novel or book child prodigy remake teenager family science woman director mixed race,Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon
Gringo,Comedy Action,kidnapping drug cartel shootout boyfriend girlfriend,Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton
Thoroughbreds,Drama Thriller,upper class father murder drug dealer friendship connecticut mansion psychological thriller murderer teenager hitchcockian rich kid ruthlessness dead horse bad father suburbs,Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin
The Death of Stalin,Comedy History Drama,dictator socialism russia chaos biography joseph stalin satire based on a true story history dark comedy dry humour death military political satire regime 1950s nikita khrushchev,Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine
The Leisure Seeker,Drama Romance Adventure,florida dementia alzheimer's disease road trip teacher winnebago extramarital affair elderly couple recreational vehicle elderly,Paolo Virzì,Donald Sutherland,Helen Mirren,
The Strangers: Prey at Night,Horror Thriller,road trip swimming pool sequel murder serial killer masked killer blood slasher home invasion cross country stranger mysterious stranger handgun mobile home,Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison
The Hurricane Heist,Action Crime Thriller,hurricane heist treasury department meteorologist disaster movie,Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten
Tomb Raider,Action Adventure Fantasy,island treasure hunt remake female protagonist heiress based on video game bicycle courier missing person reboot peril action heroine 3d slave labor father daughter relationship tomb raider,Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins
"Love, Simon",Comedy Drama Romance,sexual identity sexuality based on novel or book coming out class high school love male homosexuality bully coming of age teen movie teenager youth lgbt lgbt teen based on young adult novel gay,Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp
I Can Only Imagine,Music Drama,,Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer
7 Days in Entebbe,Thriller Drama Crime,israel terrorist 1970s uganda based on a true story history airplane hijacking rescue mission israeli defense force terrorist group operation entebbe,José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel
Furlough,Comedy,sibling relationship dementia transport of prisoners road trip rookie cop taking care of someone  woman director living with parents deathbed visit emergency furlough time out,Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony
Josie,Comedy Music,manager pop secret small town garage musician music friendship industry fame conspiracy subliminal  rock band culture message woman director fortune record deal popular pawns,Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer
Flower,Drama Comedy,high school step brother teenager single mother firecracker san fernando valley sexually aggressive woman mentally unstable rebellious,Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker
Pacific Rim: Uprising,Action Fantasy Science Fiction Adventure,damage army sequel alien giant robot giant monster robot kaiju alien monster teenage hero 3d robot suits,Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny
Isle of Dogs,Adventure Comedy Animation,japan island stop motion dog garbage dump,Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray
Sherlock Gnomes,Animation Family Fantasy,sequel missing person romeo juliet animate statue,John Stevenson,James McAvoy,Emily Blunt,Johnny Depp
Unsane,Horror Thriller,stalker mental institution fear mother daughter relationship shot on iphone,Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah
"Paul, Apostle of Christ",History,roman empire bible nero 1st century,Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez
Final Portrait,Drama History,"paris, france based on novel or book biography sculptor struggling artist 1960s painter as artist posing for a portrait portrait of an artist 20th century american writer",Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy
Midnight Sun,Romance Drama,seattle sunlight terminal illness singer best friend homeschooling teenager dead mother swimming teenage daughter railway station boyfriend girlfriend athletic scholarship protective father teenage romance busker rare disease medical problem,Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle
Followers,Thriller,cult vhs found footage social media,Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria
Ready Player One,Adventure Science Fiction,"video game based on novel or book future virtual reality dystopia nostalgia love evil corporation quest 1980s life 2040s based on young adult novel columbus, ohio",Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn
Tyler Perry's Acrimony,Thriller,revenge violence,Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter
God's Not Dead: A Light in Darkness,Drama,church aftercreditsstinger,Michael Mason,David A. R. White,John Corbett,Shane Harper
Gemini,Action Thriller,clone hitman,Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee
The Last Movie Star,Drama,nostalgia old man hollywood washed up star nashville tennessee knoxville,Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke
A Quiet Place,Horror Drama Science Fiction,deafness fireworks pregnancy post-apocalyptic future marriage child in peril farmhouse parenting survival horror silence cornfield psychological horror sign languages sound,John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds
Blockers,Comedy,parent child relationship prom house party teenage girl teenager teen comedy teenage sexuality woman director prom night losing virginity mid-life crisis,Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena
You Were Never Really Here,Thriller Drama,new york city post traumatic stress  disorder hotel based on novel or book childhood trauma murder flashback money teenage girl violence drugs stakeout alarm u.s. senator phone call burning photograph mother son relationship army veteran,Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette
Chappaquiddick,Drama Thriller History,massachusetts senator suffocation bridge scandal car accident kennedy family 1960s,John Curran,Jason Clarke,Kate Mara,Ed Helms
Pandas,Documentary,wild life,"Drew Fellman, David Douglas (directors); Drew Fellman (screenplay); Kristen Bell",Kristen Bell,,
Lean on Pete,Drama Adventure,"horse race runaway portland, oregon horse racehorse drunk trophy road movie bildungsroman",Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel
The Miracle Season,Drama,volleyball sports high school,Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty
Beirut,Action Thriller Drama,middle east lebanon terrorist 1970s hostage beirut war israeli palestinian conflict arab 1980s,Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris
Rampage,Action Adventure Science Fiction Fantasy,gorilla monster wolf mutation lizard giant lizard based on video game giant animal mutant animal kaiju albino giant rat genetic experiment destroyed city giant gorilla animal monster,Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman
Truth or Dare,Thriller Horror,mexico sacrifice hallucination college rejection betrayal demon game group of friends spring break vulnerability magic ritual doppleganger,Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane
The Rider,Drama Western,rodeo horseback riding horse riding accident head injury sioux cowboy native american reservation lasso hook for a hand south dakota 21st century disabled person,Chloé Zhao,Brady Jandreau,,
Sgt. Stubby: An American Hero,Animation Adventure Family History War,"paris, france baseball cooking world war i chase based on a true story rescue soldier dog animal foreign immigrants military working dogs",Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu
I Feel Pretty,Comedy,confidence delusion head injury cosmetics,"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski
Super Troopers 2,Comedy Crime Mystery,police cop sequel highway patrol comedy troupe shenanigans,Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme
Traffik,Thriller Horror,corruption sheriff husband wife relationship small town gas station fight kidnapping human trafficking biker murder flashback violence death phone traffik,Deon Taylor,Paula Patton,Omar Epps,Missi Pyle
The House of Tomorrow,Drama,,Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn
Liz and the Blue Bird,Animation Drama Music,japan brass band female friendship high school friends anime,Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,
Avengers: Infinity War,Adventure Action Science Fiction,magic sacrifice superhero based on comic space battlefield genocide magical object super power team aftercreditsstinger marvel cinematic universe cosmic,"Anthony Russo and Joe Russo (directors); Christopher Markus and Stephen McFeely (screenplay); Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Anthony Mackie, Sebastian Stan, Danai Gurira, Letitia Wright, Dave Bautista, Zoe Saldana, Pom Klementieff, Karen Gillan, Benedict Wong, Idris Elba, Peter Dinklage, Tom Hiddleston, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Benicio del Toro, Josh Brolin, Chris Pratt",Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo
Disobedience,Drama Romance,forbidden love lesbian interest lgbt childhood friends orthodox jewish jewish lgbt,Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola
Backstabbing for Beginners,Thriller Drama History,conspiracy united nations,Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset
Kings,Adventure Drama Action,moses bible epic racism slave ancient egypt old testament 3d ramses 13th century bc,Deniz Gamze Ergüven,Halle Berry,Daniel Craig,
Overboard,Romance Comedy,amnesia remake revenge wealthy rich,"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Anna Faris,Eugenio Derbez,Eva Longoria
Tully,Drama,new york city parent child relationship baby husband wife relationship autism nanny pregnancy motherhood postpartum depression,Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass
Bad Samaritan,Thriller Crime Horror,"fbi portland, oregon oregon, usa cabin police murder serial killer captive valet trust fund facebook burglars",Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero
The Cleanse,Drama Comedy Fantasy,creature feature,Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt
The Guardians,Animation Family Fantasy Action Adventure,new york city amnesia dream santa claus nightmare friendship easter bunny boogeyman good vs evil tooth fairy jack frost sandman kids duringcreditsstinger christmas,Xavier Beauvois,Nathalie Baye,,
Life of the Party,Comedy,housewife college daughter,Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon
Breaking In,Thriller Crime Action Horror,mother black people hostage home invasion,James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral
The Seagull,Drama Romance Comedy,love triangle based on play or musical,Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll
Terminal,Thriller Crime,assassin double life revenge criminal mastermind pulp neo-noir fatal,Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher
Revenge,Action Thriller,rape drowning nightmare vigilante blood splatter revenge car crash gore man hunt hallucinogenic drug bullet wound exploding head desert hunting eye gouging isolated house cauterizing a wound peyote headshot final battle hunters stabbed in the back,Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe
Deadpool 2,Action Comedy Adventure,hero mutant mercenary sequel superhero based on comic breaking the fourth wall duringcreditsstinger marvel cinematic universe deadpool,David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz
Book Club,Comedy Romance Drama,book club,Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen
First Reformed,Drama,pastor explosive climate change church choir diary minister pregnancy funeral widow faith priest cancer religion morality barbed wire church alcoholic environment eco terrorism ex-wife environmentalism reverend abortion new york,Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles
Pope Francis: A Man of His Word,Documentary,pope catholic,Wim Wenders,Wim Wenders (director); Pope Francis,,
Show Dogs,Adventure Crime Family Comedy,undercover police dog dog show,Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris
Solo: A Star Wars Story,Adventure Science Fiction,spacecraft prequel spin off smuggler space opera,Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke
How to Talk to Girls at Parties,Comedy Music Romance Science Fiction,"london, england 1970s galaxy punk alien punk rock based on short story croydon",John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman
In Darkness,Thriller Mystery,"london, england suicide musician childhood trauma police murder blind criminal underworld blindness",Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein
The Misandrists,Drama,,Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler
Future World,Science Fiction,android post-apocalyptic future robot,"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg
Action Point,Comedy Drama,usa amusement park aftercreditsstinger duringcreditsstinger,Tim Kirkby,Johnny Knoxville,Chris Pontius,
Adrift,Thriller Romance Adventure,sailboat boat marriage proposal hurricane sailing vegetarian tahiti based on a true story survival couple,Baltasar Kormákur,Shailene Woodley,Sam Claflin,
Upgrade,Action Thriller Science Fiction Horror,artificial intelligence cyborg future dystopia police revenge murder cyberpunk transhumanism car chase implant near future body enhancement,Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson
American Animals,Drama Crime Documentary,"new york city library pennsylvania, usa artist book kentucky art collector final exam arrest based on a true story travel heist university theft disguise unreliable narrator",Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner
Social Animals,Comedy Romance,male prostitute twins divorce extramarital affair lice woman director movie buff singing in a car,Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash
Ocean's 8,Crime Comedy Action Thriller,new york city heist spin off estranged sister the met gala,Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway
Won't You Be My Neighbor?,Documentary,tv star mister rogers children's tv show child friendly serious subjects gently discussed,Morgan Neville,Morgan Neville (director); Fred Rogers,,
Hereditary,Horror Mystery Thriller,loss of loved one secret ant funeral utah daughter supernatural possession dysfunctional family decapitation fear demon attic evil dollhouse seance ancestry traumatic experience anaphylaxis matriarch miniatures decomposed body supernatural horror,Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro
Hotel Artemis,Thriller Science Fiction Action,nurse hotel orderly dystopia street riots riot police near future clandestine hospital,Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella
Superfly,Action Crime,gambling corruption famous score nightclub arrest police money driving revolver selling drugs,Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams
Incredibles 2,Action Adventure Animation Family,married couple sequel superhero children computer animation parenting family super power,Brad Bird,Holly Hunter,Craig T. Nelson,Sarah Vowell
Tag,Comedy Drama,based on a true story travel game group of friends classmates,Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm
On Chesil Beach,Drama Romance,sexual abuse based on novel or book frigidity sexual revolution misunderstanding newlywed 1960s fear of intimacy,Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson
Gotti,Crime Drama History Thriller,1970s loyalty gangster biography betrayal organized crime violence godfather crime syndicate mob,Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach
Jurassic World: Fallen Kingdom,Action Adventure Science Fiction,tyrannosaurus rex volcano sequel rescue mission wild animal dinosaur genetic engineering prehistoric creature aftercreditsstinger monster island,J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall
Boundaries,Comedy Drama,road trip family relationships marijuana estranged father stray dog,Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall
Damsel,Comedy Western,black humor alcohol abuse american wilderness 19th century far west oregon trail grieving man american frontier,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Mia Wasikowska,
The Domestics,Thriller Horror,husband wife relationship post-apocalyptic future gang violence cannibalism survive,Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick
Sicario: Day of the Soldado,Action Crime Drama Thriller,corruption cia sequel rescue shootout explosion brutality violence drugs sign languages cartel neo-noir mexican cartel,Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner
Leave No Trace,Drama,"post traumatic stress  disorder based on novel or book portland, oregon oregon, usa trauma hiking teenage girl survivalist veteran hitchhiking washington state woman director squatting off the grid survivalism father daughter relationship living off the grid bee hive",Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober
Uncle Drew,Comedy,comeback basketball road trip streetball tournament prize money financial problem harlem septuagenarian,Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal
Woman Walks Ahead,Drama History Western,biography sioux north dakota based on a true story native american native american reservation sitting bull 19th century indigenous peoples lakota tribe woman painter,Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer
The First Purge,Action Science Fiction Thriller Horror,new york city sequel prequel murder violence purge abuse of power,Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade
Ant-Man and the Wasp,Action Adventure Science Fiction Comedy,insect ant shrinking sequel superhero based on comic miniaturization giant man aftercreditsstinger duringcreditsstinger marvel cinematic universe,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña
Sorry to Bother You,Fantasy Science Fiction Comedy,slavery satire blood poverty oakland california telemarketer telemarketing human animal hybid race relations modern slavery,Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer
Whitney,Documentary,biography celebrity singer fame,Kevin MacDonald,Whitney Houston,,
Hotel Transylvania 3: Summer Vacation,Family Fantasy Comedy Animation,monster vampire cruise ship dracula,Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez
Skyscraper,Action,china fire skyscraper hong kong high tech security system pearl penthouse world's tallest building trapped in burning building,Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han
Eighth Grade,Comedy Drama,adolescence coming of age teenage girl middle school new york state social media,Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson
