movie_title,genres,keywords,director_name,actor_1_name,actor_2_name,actor_3_name
The Little Stranger,Mystery Drama Horror,based on novel or book,Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter
Destination Wedding,Romance Comedy Drama,california pessimism cynic,Victor Levin,Winona Ryder,Keanu Reeves,
The Nun,Horror Mystery Thriller,"rome, italy father supernatural spirit demon spin off evil nun demonic possession romania murder mystery ancient evil the conjuring universe",Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet
Peppermint,Action Thriller,coma handcuffs bus cemetery fbi grave widow vigilante alcoholism revenge murder flashback drug cartel blood hospital police corruption torture skid row corrupt official loss of child corrupt judge driveby shooting,Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba
The Predator,Science Fiction Action Thriller Adventure Horror Comedy,predator sequel alien alien invasion military,Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay
White Boy Rick,Crime Drama,war on drugs fbi drug traffic based on a true story detroit informant 1980s,Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley
A Simple Favor,Crime Comedy Mystery Drama Thriller,based on novel or book secret small town widow female friendship life insurance best friend missing person vlogger,Paul Feig,Anna Kendrick,Blake Lively,Henry Golding
The Children Act,Drama,based on novel or book law and ethics marriage crisis lawyer young boy illness religiosity jehovah's witness,Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead
Lizzie,Crime Drama Thriller,biography last will and testament housemaid lizzie borden murder trial 19th century abusive father father daughter relationship axe murder,Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley
Unbroken: Path to Redemption,Drama,post traumatic stress  disorder based on novel or book biography faith sequel,Harold Cronk,Samuel Hunt,Merritt Patterson,Vanessa Bell Calloway
The House with a Clock in Its Walls,Fantasy Family Horror Comedy,based on novel or book clock haunted house uncle pumpkin orphan warlock secret passageway 1950s magician,Eli Roth,Jack Black,Cate Blanchett,Owen Vaccaro
Life Itself,Documentary,,Dan Fogelman,Oscar Isaac,Olivia Wilde,Mandy Patinkin
The Sisters Brothers,Comedy Western,"san francisco, california based on novel or book gold oregon, usa hitman male friendship gold rush scout 19th century gold claim brother brother relationship",Jacques Audiard,John C. Reilly,Joaquin Phoenix,Jake Gyllenhaal
Assassination Nation,Thriller Comedy Horror,"feminism female protagonist social satire american salem, massachusetts hack toxic masculinity",Sam Levinson,Odessa Young,Suki Waterhouse,Hari Nef
Colette,Drama History,"paris, france nobel prize biography author 19th century abusive marriage",Wash Westmoreland,Keira Knightley,Dominic West,
Fahrenheit 11/9,Documentary,u.s. president water billionaire flint michigan school shooting anti trump film,Michael Moore,Michael Moore (director/screenplay),,
My Son,Crime Drama Thriller,police standoff,Christian Carion,Guillaume Canet,Melanie Laurent,
"Love, Gilda",Documentary,biography woman director,Lisa Dapolito,Lisa Dapolito (director); Gilda Radner,,
My Hero Academia: Two Heroes,Animation Action Comedy Fantasy Adventure,japan hero superhero school super power shounen anime,Kenji Nagasaki,Justin Briner,Christopher R. Sabat,Clifford Chapin
Smallfoot,Animation Family Adventure Fantasy,nepal himalaya ice musical yeti snow anthropomorphism creature based on children's book 3d plane crash,Karey Kirkpatrick,Channing Tatum,James Corden,Zendaya
Night School,Comedy,baseball bat dyslexia car crash prom teacher learning disability exams night school high school drop out three nipples boxing ring,Malcolm D. Lee,Kevin Hart,Tiffany Haddish,Rob Riggle
The Old Man & the Gun,Comedy Crime Drama,"bank texas fbi based on a true story heist bank robbery assumed identity horse ranch prison break neo-noir 1980s septuagenarian american midwest based on magazine, newspaper or article nonviolent offender finger gun smile",David Lowery,Robert Redford,Casey Affleck,Danny Glover
Hell Fest,Horror,halloween psychopath serial killer masked killer slasher amusement park psycho halloween night,Gregory Plotkin,Bex Taylor-Klaus,Amy Forsyth,Reign Edwards
Power of the Air,,,Dave Christiano,Nicholas X. Parsons,Patty Duke,Michael Gross
